DataSet|ab initio quantum chemistry computational method|abs.máx(ev)|abs.máx(nm)|absorption|acidic group count|alcohol|aldehyde|algorithm|alogp descriptor|amide|amine|aromatic atom count|assay method|atom count|atom-type h e-state|atomic qsar descriptor|basic group count|bbb|benzene|bioassay|biological activity|biological target|bond count|carboxylic acid|charges|chemical descriptor|contribution|cross-validation information|cycle count|cycle count containing heteroatoms|diagnosis|dipole|drug|ec50|esolv.water|ester|ether|excretion|external validation|finger prints|freee|functional group descriptor|genetic algorithm|hartree-fock method|heavy atom count|highest occupied molecular orbital energy|hydrocarbon|hydrogen bond acceptors count|hydrogen bond acceptors count(using lipinski’s definition)|hydrogen bond donnors count(using lipinski’s definition)|hydrogen bond donors count|ic50|in silico|in vitro|in vivo|inhibitor|internal validation|ketone|linear qsar|lipinski|lowest unoccupied molecular orbital energy|machine learning algorithm|metabolism|minimum e-states for (strong) hydrogen bond acceptors|minimum e-states for (strong) hydrogen bond donors|molar refractivity|molecular mass|monte carlo|moreau-broto autocorrelation(first ionization potential) descriptors|moreau-broto autocorrelation(mass) descriptors|moreau-broto autocorrelation(polarizability) descriptors|moreau-broto autocorrelation(van der waals volumes) descriptors|non-linear dimensional qsar|osc.force|partition coefficient|pharmacokinetics|pharmacophoric group|phenols|pi-electron computational method|pic50|pki|plane polarized light method|polar surface area descriptor|publication|qsar descriptor|quantum chemistry computational method|regression statistics|root|rotatable bond count|semi supervised learning|semi-empirical quantum chemistry method|split validation|sum of atom-type h e-state(nh)|sum of atom-type h e-state(nh2)|sum of atom-type h e-state(oh)|sum of atom-type h e-state(sh2)|supervised learning|thing|three dimensional qsar|tissue distribution|toxicity|transition|trial and error|tumor size|two dimensional qsar|unsupervised learning|valence electron computational method|validation|y scrambling|zagreb index|zeroe
zarq_00010_repetition_1|0.1489|0.1489|0.1489|0.2752|0.1185|0.1185|0.1185|0.1777|0.1185|0.1185|0.1185|0.1185|0.1777|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.2730|0.1777|0.1185|0.1185|0.1489|0.1777|0.1489|0.1185|0.1185|0.0889|0.1777|0.1489|0.3555|0.1365|0.1489|0.1185|0.1185|0.1376|0.1185|0.1185|0.1489|0.1777|0.1185|0.1489|0.1185|0.1185|0.1185|0.1185|0.0889|0.0889|0.1185|0.2730|0.1185|0.1185|0.1185|0.3555|0.1185|0.1185|0.0711|0.1185|0.1185|0.1185|0.1376|0.0889|0.0889|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.0711|0.1489|0.1185|0.2752|0.1777|0.1185|0.1489|0.2730|0.1365|0.1185|0.1185|0.1777|0.0889|0.2977|0.1185|0.1777|0.0889|0.0889|0.1489|0.1185|0.0889|0.0889|0.0889|0.0889|0.0889|0.3555|0.0711|0.1376|0.1376|0.2977|0.1185|0.1185|0.0711|0.0889|0.1489|0.1777|0.1185|0.1185|0.1489
zarq_00011_repetition_1|0.1489|0.1489|0.1489|0.2752|0.1684|0.0842|0.0842|0.1123|0.1684|0.0842|0.0842|0.1684|0.1123|0.1684|0.1684|0.1684|0.1684|0.1684|0.0842|0.0842|0.2730|0.1123|0.1684|0.0842|0.1489|0.3368|0.1489|0.0842|0.1684|0.1123|0.1123|0.2977|0.0842|0.1365|0.1489|0.0842|0.0842|0.1376|0.0842|0.1684|0.1489|0.1123|0.0842|0.1489|0.1684|0.1684|0.0842|0.1684|0.1123|0.1123|0.1684|0.2730|0.0842|0.0842|0.0842|0.1123|0.0842|0.0842|0.0561|0.1684|0.1684|0.0842|0.1376|0.1123|0.1123|0.1684|0.3368|0.0842|0.1684|0.1684|0.1684|0.1684|0.0561|0.1489|0.3368|0.2752|0.1123|0.0842|0.1489|0.2730|0.1365|0.1684|0.1684|0.1123|0.0674|0.2977|0.0842|0.1123|0.1123|0.0674|0.1489|0.0842|0.1123|0.1123|0.1123|0.1123|0.0674|0.1684|0.0561|0.1376|0.1376|0.2977|0.0842|0.0842|0.0561|0.0674|0.1489|0.1123|0.0842|0.1684|0.1489
zarq_00012_repetition_1|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.2730|0.0910|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0546|0.0910|0.0683|0.0683|0.1365|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0546|0.0546|0.0683|0.2730|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0455|0.0683|0.0683|0.0683|0.0683|0.0546|0.0546|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0455|0.0683|0.0683|0.0910|0.0910|0.0683|0.0683|0.2730|0.1365|0.0683|0.0683|0.0910|0.0546|0.0910|0.0683|0.0910|0.0546|0.0546|0.0683|0.0683|0.0546|0.0546|0.0546|0.0546|0.0546|0.1365|0.0455|0.0683|0.0683|0.0683|0.0683|0.0683|0.0455|0.0546|0.0683|0.0910|0.0683|0.0683|0.0683
zarq_00013_repetition_1|0.1185|0.1185|0.1185|0.1185|0.1684|0.1185|0.1185|0.1777|0.1684|0.1185|0.1185|0.1684|0.1777|0.1684|0.1684|0.1684|0.1684|0.1684|0.1185|0.1185|0.2730|0.1777|0.1684|0.1185|0.1185|0.3368|0.1185|0.1185|0.1684|0.1123|0.1777|0.1185|0.3555|0.1365|0.1185|0.1185|0.1185|0.1185|0.1185|0.1684|0.1185|0.1777|0.1185|0.1185|0.1684|0.1684|0.1185|0.1684|0.1123|0.1123|0.1684|0.2730|0.1185|0.1185|0.1185|0.3555|0.1185|0.1185|0.0711|0.1684|0.1684|0.1185|0.1185|0.1123|0.1123|0.1684|0.1684|0.1185|0.1684|0.1684|0.1684|0.1684|0.0711|0.1185|0.3368|0.1777|0.1777|0.1185|0.1185|0.2730|0.1365|0.1684|0.1684|0.1777|0.0889|0.1777|0.1185|0.1777|0.1123|0.0889|0.1185|0.1185|0.1123|0.1123|0.1123|0.1123|0.0889|0.3555|0.0711|0.1185|0.1185|0.1185|0.1185|0.1185|0.0711|0.0889|0.1185|0.1777|0.1185|0.1684|0.1185
zarq_00014_repetition_1|0.1489|0.1489|0.1489|0.2752|0.1684|0.0842|0.0842|0.1123|0.1684|0.0842|0.0842|0.1684|0.1123|0.1684|0.1684|0.1684|0.1684|0.1684|0.0842|0.0842|0.2730|0.1123|0.1684|0.0842|0.1489|0.3368|0.2977|0.0842|0.1684|0.1123|0.1123|0.1489|0.0842|0.1365|0.1489|0.0842|0.0842|0.1376|0.0842|0.1684|0.1489|0.1123|0.0842|0.1489|0.1684|0.1684|0.0842|0.1684|0.1123|0.1123|0.1684|0.2730|0.0842|0.0842|0.0842|0.1123|0.0842|0.0842|0.0561|0.3368|0.1684|0.0842|0.1376|0.1123|0.1123|0.1684|0.1684|0.0842|0.1684|0.1684|0.1684|0.1684|0.0561|0.1489|0.1684|0.2752|0.1123|0.0842|0.1489|0.2730|0.1365|0.1684|0.1684|0.1123|0.0674|0.2977|0.0842|0.1123|0.1123|0.0674|0.1489|0.0842|0.1123|0.1123|0.1123|0.1123|0.0674|0.1684|0.0561|0.1376|0.1376|0.2977|0.0842|0.0842|0.0561|0.0674|0.1489|0.1123|0.0842|0.1684|0.1489
zarq_00015_repetition_1|0.1265|0.1265|0.1265|0.3796|0.1684|0.1265|0.1265|0.1898|0.1684|0.1265|0.1265|0.1684|0.1898|0.1684|0.1684|0.1684|0.1684|0.1684|0.1265|0.1265|0.2730|0.1898|0.1684|0.1265|0.1265|0.3368|0.1265|0.1265|0.1684|0.1123|0.1898|0.1265|0.3555|0.1365|0.1265|0.1265|0.1265|0.3796|0.1265|0.1684|0.1265|0.1898|0.1265|0.1265|0.1684|0.1684|0.1265|0.1684|0.1123|0.1123|0.1684|0.2730|0.1265|0.1265|0.1265|0.3555|0.1265|0.1265|0.0759|0.1684|0.1684|0.1265|0.3796|0.1123|0.1123|0.3368|0.1684|0.1265|0.1684|0.1684|0.1684|0.1684|0.0759|0.1265|0.1684|0.3796|0.1898|0.1265|0.1265|0.2730|0.1365|0.1684|0.1684|0.1898|0.0949|0.1898|0.1265|0.1898|0.1123|0.0949|0.1265|0.1265|0.1123|0.1123|0.1123|0.1123|0.0949|0.3796|0.0759|0.3796|0.3796|0.1265|0.1265|0.1265|0.0759|0.0949|0.1265|0.1898|0.1265|0.1684|0.1265
zarq_00016_repetition_1|0.1185|0.1185|0.1185|0.1185|0.1684|0.1185|0.1185|0.1777|0.1684|0.1185|0.1185|0.1684|0.1777|0.1684|0.1684|0.1684|0.1684|0.1684|0.1185|0.1185|0.2730|0.1777|0.1684|0.1185|0.1185|0.3368|0.1185|0.1185|0.1684|0.1123|0.1777|0.1185|0.3555|0.1365|0.1185|0.1185|0.1185|0.1185|0.1185|0.1684|0.1185|0.1777|0.1185|0.1185|0.1684|0.1684|0.1185|0.1684|0.1123|0.1123|0.1684|0.2730|0.1185|0.1185|0.1185|0.3555|0.1185|0.1185|0.0711|0.1684|0.1684|0.1185|0.1185|0.1123|0.1123|0.1684|0.1684|0.1185|0.1684|0.1684|0.1684|0.1684|0.0711|0.1185|0.3368|0.1777|0.1777|0.1185|0.1185|0.2730|0.1365|0.1684|0.1684|0.1777|0.0889|0.1777|0.1185|0.1777|0.1123|0.0889|0.1185|0.1185|0.1123|0.1123|0.1123|0.1123|0.0889|0.3555|0.0711|0.1185|0.1185|0.1185|0.1185|0.1185|0.0711|0.0889|0.1185|0.1777|0.1185|0.1684|0.1185
zarq_00017_repetition_1|0.1489|0.1489|0.1489|0.2752|0.1185|0.1185|0.1185|0.1777|0.1185|0.1185|0.1185|0.1185|0.1777|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.2730|0.1777|0.1185|0.1185|0.1489|0.1777|0.1489|0.1185|0.1185|0.0889|0.1777|0.1489|0.3555|0.1365|0.1489|0.1185|0.1185|0.1376|0.1185|0.1185|0.1489|0.1777|0.1185|0.1489|0.1185|0.1185|0.1185|0.1185|0.0889|0.0889|0.1185|0.2730|0.1185|0.1185|0.1185|0.3555|0.1185|0.1185|0.0711|0.1185|0.1185|0.1185|0.1376|0.0889|0.0889|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.1185|0.0711|0.1489|0.1185|0.2752|0.1777|0.1185|0.1489|0.2730|0.1365|0.1185|0.1185|0.1777|0.0889|0.2977|0.1185|0.1777|0.0889|0.0889|0.1489|0.1185|0.0889|0.0889|0.0889|0.0889|0.0889|0.3555|0.0711|0.1376|0.1376|0.2977|0.1185|0.1185|0.0711|0.0889|0.1489|0.1777|0.1185|0.1185|0.1489
zarq_00018_repetition_1|0.1489|0.1489|0.1489|0.2752|0.0744|0.0744|0.0744|0.0992|0.0744|0.0744|0.0744|0.0744|0.0992|0.0744|0.0744|0.0744|0.0744|0.0744|0.0744|0.0744|0.2730|0.0992|0.0744|0.0744|0.1489|0.0992|0.2977|0.0744|0.0744|0.0595|0.0992|0.2977|0.0744|0.1365|0.1489|0.0744|0.0744|0.1376|0.0744|0.0744|0.1489|0.0992|0.0744|0.1489|0.0744|0.0744|0.0744|0.0744|0.0595|0.0595|0.0744|0.2730|0.0744|0.0744|0.0744|0.0992|0.0744|0.0744|0.0496|0.0744|0.0744|0.0744|0.1376|0.0595|0.0595|0.0744|0.0744|0.0744|0.0744|0.0744|0.0744|0.0744|0.0496|0.1489|0.0744|0.2752|0.0992|0.0744|0.1489|0.2730|0.1365|0.0744|0.0744|0.0992|0.0595|0.2977|0.0744|0.0992|0.0595|0.0595|0.1489|0.0744|0.0595|0.0595|0.0595|0.0595|0.0595|0.1489|0.0496|0.1376|0.1376|0.2977|0.0744|0.0744|0.0496|0.0595|0.1489|0.0992|0.0744|0.0744|0.1489
zarq_00019_repetition_1|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.2730|0.0910|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0546|0.0910|0.0683|0.0683|0.1365|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0546|0.0546|0.0683|0.2730|0.0683|0.0683|0.0683|0.0910|0.0683|0.0683|0.0455|0.0683|0.0683|0.0683|0.0683|0.0546|0.0546|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0683|0.0455|0.0683|0.0683|0.0910|0.0910|0.0683|0.0683|0.2730|0.1365|0.0683|0.0683|0.0910|0.0546|0.0910|0.0683|0.0910|0.0546|0.0546|0.0683|0.0683|0.0546|0.0546|0.0546|0.0546|0.0546|0.1365|0.0455|0.0683|0.0683|0.0683|0.0683|0.0683|0.0455|0.0546|0.0683|0.0910|0.0683|0.0683|0.0683
