C1|ab initio quantum chemistry computational method|abs.máx(ev)|abs.máx(nm)|absorption|acidic group count|alcohol|aldehyde|algorithm|alogp descriptor|amide|amine|aromatic atom count|assay method|atom count|atom-type h e-state|atomic qsar descriptor|basic group count|bbb|benzene|bioassay|biological activity|biological target|bond count|carboxylic acid|charges|chemical descriptor|contribution|cross-validation information|cycle count|cycle count containing heteroatoms|diagnosis|dipole|drug|ec50|esolv.water|ester|ether|excretion|external validation|finger prints|freee|functional group descriptor|genetic algorithm|hartree-fock method|heavy atom count|highest occupied molecular orbital energy|hydrocarbon|hydrogen bond acceptors count|hydrogen bond acceptors count(using lipinski’s definition)|hydrogen bond donnors count(using lipinski’s definition)|hydrogen bond donors count|ic50|in silico|in vitro|in vivo|inhibitor|internal validation|ketone|linear qsar|lipinski|lowest unoccupied molecular orbital energy|machine learning algorithm|metabolism|minimum e-states for (strong) hydrogen bond acceptors|minimum e-states for (strong) hydrogen bond donors|molar refractivity|molecular mass|monte carlo|moreau-broto autocorrelation(first ionization potential) descriptors|moreau-broto autocorrelation(mass) descriptors|moreau-broto autocorrelation(polarizability) descriptors|moreau-broto autocorrelation(van der waals volumes) descriptors|non-linear dimensional qsar|osc.force|partition coefficient|pharmacokinetics|pharmacophoric group|phenols|pi-electron computational method|pic50|pki|plane polarized light method|polar surface area descriptor|publication|qsar descriptor|quantum chemistry computational method|regression statistics|root|rotatable bond count|semi supervised learning|semi-empirical quantum chemistry method|split validation|sum of atom-type h e-state(nh)|sum of atom-type h e-state(nh2)|sum of atom-type h e-state(oh)|sum of atom-type h e-state(sh2)|supervised learning|thing|three dimensional qsar|tissue distribution|toxicity|transition|trial and error|tumor size|two dimensional qsar|unsupervised learning|valence electron computational method|validation|y scrambling|zagreb index|zeroe
amine|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2500|0.5000|1.0000|0.2500|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.3333|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.2500|0.2000|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.2500|0.2500|0.2500|0.2500|1.0000|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2000|0.2000|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2000|0.2000|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2000|0.3333|0.2500|0.3333|0.2000|0.2000|0.2500|0.2500|0.2000|0.2000|0.2000|0.2000|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.2500|0.2500
aromatic atom count|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|1.0000|0.3333|0.5000|0.5000|0.5000|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
assay method|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.3333|1.0000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|1.0000|0.5000|0.5000|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.2500|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.2500|0.2500|0.3333|0.3333|1.0000|1.0000|1.0000|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.5000|0.5000|0.3333|0.5000|0.2500|0.2500|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|1.0000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.2500|0.3333|0.5000|0.3333|0.3333|0.3333
atom count|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|0.5000|0.3333|1.0000|0.5000|0.5000|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
atom-type h e-state|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|0.5000|0.3333|0.5000|1.0000|0.5000|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|1.0000|1.0000|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|1.0000|1.0000|1.0000|1.0000|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
atomic qsar descriptor|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|0.5000|0.3333|0.5000|0.5000|1.0000|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
basic group count|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|0.5000|0.3333|0.5000|0.5000|0.5000|1.0000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
bbb|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2500|0.3333|0.5000|0.2500|0.2500|0.5000|0.3333|0.5000|0.5000|0.5000|0.5000|1.0000|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|1.0000|0.2500|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.5000|0.5000|0.2500|0.5000|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.1667|0.5000|0.5000|0.2500|0.2500|0.3333|0.3333|0.5000|0.5000|0.2500|0.5000|0.5000|0.5000|0.5000|0.1667|0.2500|0.5000|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2000|0.3333|0.2500|0.3333|0.3333|0.2000|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.5000|0.2500
benzene|0.2500|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.3333|0.2500|0.5000|0.5000|0.2500|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|1.0000|0.2500|0.3333|0.3333|0.2500|0.5000|0.2500|0.3333|0.2500|0.2500|0.2500|0.2000|0.3333|0.2500|0.2500|0.2500|0.2500|0.5000|0.5000|0.2500|0.2500|0.2500|0.2500|1.0000|0.2500|0.2500|0.2500|0.2500|0.5000|0.2500|0.2000|0.2000|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2000|0.2000|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2500|0.2500|0.3333|0.3333|0.5000|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2000|0.3333|0.2500|0.3333|0.2000|0.2000|0.2500|0.2500|0.2000|0.2000|0.2000|0.2000|0.2000|0.5000|0.1667|0.2500|0.2500|0.2500|0.2500|0.2500|0.1667|0.2000|0.2500|0.3333|0.2500|0.2500|0.2500
bioassay|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.2500|0.2500|1.0000|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|1.0000|0.3333|0.3333|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.2500|0.2000|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2000|0.2000|0.2500|0.2500|0.5000|0.5000|0.5000|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2000|0.2000|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.3333|0.3333|0.3333|0.2500|0.3333|0.2000|0.2000|0.2500|0.2500|0.2000|0.2000|0.2000|0.2000|0.2000|0.5000|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2500|0.2000|0.2500|0.3333|0.2500|0.2500|0.2500
biological activity|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|1.0000|0.5000|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.2500|0.5000|0.3333|0.3333|1.0000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.2500|0.2500|0.3333|1.0000|0.3333|0.3333|0.3333|0.5000|0.3333|0.3333|0.2000|0.3333|0.3333|0.3333|0.3333|0.2500|0.2500|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.3333|0.2000|0.3333|0.3333|0.5000|0.5000|0.3333|0.3333|1.0000|1.0000|0.3333|0.3333|0.5000|0.2500|0.5000|0.3333|0.5000|0.2500|0.2500|0.3333|0.3333|0.2500|0.2500|0.2500|0.2500|0.2500|1.0000|0.2000|0.3333|0.3333|0.3333|0.3333|0.3333|0.2000|0.2500|0.3333|0.5000|0.3333|0.3333|0.3333
